** CONVERTED FROM C:\Users\hanzh\Desktop\Pupillometry Demo\data\_Forced_Response_scene_contrast_2022_Jul_26_1425.EDF using edfapi 4.2.1 Win32  EyeLink Dataviewer Sub ComponentApr 12 2021 on Tue Jul 26 14:36:36 2022
** DATE: Tue Jul 26 14:22:21 2022
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL Version 1.4 Sensor=BHF
** SERIAL NUMBER: CL1-76M08
** CAMERA_CONFIG: 76M08140.SCD
**

MSG	524982 NO Reply is disabled for function eyelink_cal_result
MSG	525033 RECCFG CR 500 2 0 R
MSG	525033 ELCLCFG MTABLE
MSG	525033 GAZE_COORDS 0.00 0.00 1600.00 1200.00
MSG	525033 THRESHOLDS R 54 195
MSG	525033 ELCL_PROC ELLIPSE  (5)
MSG	525033 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	525034 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
MSG	525034 !MODE RECORD CR 500 2 0 R
525486	  776.5	  627.1	 7320.0	...
525488	  776.5	  626.9	 7315.0	...
525490	  776.5	  627.0	 7315.0	...
525492	  776.5	  627.2	 7315.0	...
525494	  776.4	  627.5	 7311.0	...
525496	  776.3	  627.5	 7306.0	...
525498	  776.6	  627.6	 7295.0	...
525500	  776.7	  628.5	 7289.0	...
525502	  776.9	  629.3	 7281.0	...
525504	  776.8	  628.4	 7278.0	...
525506	  776.3	  626.6	 7274.0	...
525508	  775.9	  625.8	 7271.0	...
525510	  776.0	  626.8	 7264.0	...
525512	  776.4	  628.0	 7257.0	...
525514	  776.9	  628.1	 7251.0	...
525516	  776.6	  627.7	 7252.0	...
525518	  776.4	  627.1	 7247.0	...
525520	  776.2	  626.1	 7240.0	...
525522	  776.3	  625.6	 7234.0	...
525524	  776.4	  626.5	 7234.0	...
525526	  776.6	  627.8	 7228.0	...
525528	  776.7	  629.2	 7221.0	...
525530	  776.6	  629.3	 7215.0	...
525532	  776.4	  629.5	 7215.0	...
525534	  776.1	  629.4	 7212.0	...
525536	  775.9	  629.3	 7208.0	...
525538	  775.8	  629.0	 7200.0	...
525540	  775.8	  628.9	 7193.0	...
525542	  775.8	  628.6	 7186.0	...
525544	  775.7	  628.3	 7182.0	...
525546	  775.3	  628.0	 7180.0	...
525548	  774.9	  627.9	 7178.0	...
525550	  774.7	  628.4	 7177.0	...
